REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
G-BYZA,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,PDG67,,,
G-CBJW,ERIC FOSTER,C42,IKARUS,,VC,P,,,,,,GCBJW,,,
G-CBUI,FLY NAVY HERITAGE TRUST,WASP,WASP,,VCH,P,,,,,,NAVYWINGS WASP,,,
G-CBXC,MARK EARDLEY,C42,IKARUS,,VC,P,,,,,,GCBXC,,,
G-CCDX,STEVEN MIDDLETON,EV97,EUROSTAR,,VC,P,,,,,,GCCDX,,,
G-CCVM,MICHAEL MOTHERSHAW,RV7,,,BC,P,,,,,,GCCVM,,,
G-CCYG,HENRY WILD,R44,RAVEN 2,,VCH,P,,,,,,GCCYG,,,
G-CDGA,TERENCE EGLINTON,ZZZZ,TAYLOR MONOPLANE,,VC,P,,,,,,GCDGA,,,
G-CDOA,MAINAIR MICROLIGHT SCHOOL,EV97,EUROSTAR,,VC,P,,,,,,GCDOA,,,
G-CDZG,MAINAIR MICROLIGHT SCHOOL,C42,IKARUS,,VC,P,,,,,,GCDZG,,,
G-CEFM,WESTAIR FLYING SERVICES,C152,,,VC,P,,,,,,GCEFM,,,
G-CFTJ,CEDRIC FLOOD,EV97,EUROSTAR,,BC,P,,,,,,GCFTJ,,,
G-CFWJ,DAVID WHITELEY,ULAC,QUIK,,VC,P,,,,,,GCFWJ,,,FLEXWING MICROLIGHT
G-CGFG,LAC FLYING SCHOOLO,C152,,,VCH,P,,,,,,GCGFG,,,
G-CGKD,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKE,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKG,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKH,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKK,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKL,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKN,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKP,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKR,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKS,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKU,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGKW,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-CGSO,LIGHT VENDING LTD,ULAC,QUIK,,VCH,P,,,,,,GCGSO,,,
G-CGTC,POLICE SERVICE OF NORTHERN IRELAND,BN2T,TURBO ISLANDER,,VC,L,,,UKP,,,SCOUT2,,,
G-CGVT,MAINAIR MICROLIGHT SCHOOL,EV97,EUROSTAR,,VC,P,,,,,,GCGVT,,,
G-CGYW,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CHFD,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY06,,,
G-CIBM,GERALD WILLIAMS,RV8,,,VC,P,,,,,,RAVEN4,,,
G-CICH,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CIFE,2 EXCEL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,BRO,,,,,,
G-CIGZ,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CIJW,BRISTOW HELICOPTERS GROUP LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CIJX,BRISTOW HELICOPTERS GROUP LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CIKO,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CILN,BABCOCK MISSION CRITICAL SERVICES,A139,,,VCH,L,,,,,,GCILN,,,
G-CIMU,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CIOS,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-CIPW,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CIRM,ROBERT STALKER,RV12,,,VC,P,,,,,,GCIRM,,,
G-CIRW,AIR NAVIGATION AND TRADING COMPANY LTD,C150,,,VC,P,,,,,,GCIRW,,,
G-CIRZ,MAINAIR MICROLIGHT SCHOOL,C42,IKARUS,,VC,P,,,,,,GCIRZ,,,
G-CIWF,BABCOCK MISSION CRITICAL SERVICES,EC25,,,VCH,L,,,RHD,,,,,,
G-CJDA,MAINAIR MICROLIGHT SCHOOL,C42,IKARUS,,VC,P,,,,,,GCJDA,,,
G-CJLL,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CKBY,BABCOCK MISSION CRITICAL SERVICES,AS65,DAUPHIN,,VCH,L,,,,,,GCKBY,,,
G-CKIH,ATLAS HELICOPTERS LTD,A109,,,VCH,AD,,,TDT,,,TDT04,,,
G-CKPS,COTSWOLD HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,HHH,,,,,,
G-CKSR,CHRISTOPHER MAHER,ST75,STEARMAN,,BC,P,,,,,,GCKSR,,,
G-CKXL,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CKXM,JAMES WALKER,EFOX,EUROFOX,,VC,P,,,,,,GCKXM,,,
G-CKYP,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CLBT,CHRISTOPHER THOMPSON,NG5,BRISTELL,,BC,P,,,,,,GCLBT,,,EMERGENCY BALLISTIC DEVICE
G-CLCN,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CLGF,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CLGH,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-CLIW,WINGGLIDER LTD,C208,GRAND CARAVAN,,VC,AD,,,,,,GCLIW,,,SKYDIVING
G-CMBS,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,UKP,,,,,,
G-CMFA,ANDREW HILL,RV8,,,VC,P,,,,,,RAVEN6,,,
G-CMRA,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,,,,
G-CMSU,CASTLE AIR LTD,A109,,,VCH,AD,,,,,,GCMSU,,,
G-CMTB,GEMSTONE AVIATION,DA50,,,VC,P,,,,,,GCMTB,,,
G-CNCN,112 GROUP LTD,AC11,COMMANDER,,VC,P,,,,,,GCNCN,,,
G-CNWL,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-CORS,ROLLS ROYCE,T6,HARVARD,,VC,P,,,,,,MERLIN51,,,
G-CPAO,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-CPAS,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-CPLH,HELICENTRE AVIATION,G2CA,,,VCH,P,,,,,,GCPLH,,,
G-CPSH,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-CPX,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,BHL,,,,,,
G-CRDL,CRADEL AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GCRDL,,,
G-CRWL,CORNWALL AIR AMBULANCE,A169,,,VCH,L,,,HLE,,,HLE01,,,
G-CTAB,NORTH WEST AEROBATICS,CH7B,CITABRIA,,VCH,P,,,,,,GCTAB,,,
G-CTED,JOHN NICHOLSON,RV7,,,VC,P,,,,,,GCTED,,,
G-CVXN,DIRECT FLIGHT LTD,F406,EXPLORER,,VCH,AD,,,DCT,,,,,,
G-CWCD,IAS MEDICAL LTD,BE20,KING AIR 200,,VC,AD,,,MDI,,,,,,
G-CYPM,PAUL YEOMAN,SR22,,,VC,P,,,,,,GCYPM,,EMERGENCY BALLISTIC DEVICE,
G-DAAN,DEVON AIR AMBULANCE TRADING COMPANY LTD,EC35,,,VCH,L,,,HLE,,,HLE70,,,
G-DATR,COTSWOLD HELICOPTERS,B06,JETRANGER,,VCH,L,,,HHH,,,,,,
G-DAWG,HIGH G BULLDOG,BDOG,BULLDOG,,VM,P,,,,,,GDAWG,,,
G-DAYD,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY03,,,
G-DAYF,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY04,,,
G-DCAM,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,,,,
G-DCPB,NATIONAL POLICE AIR SERVICE,EC45,,,VCH,L,,,UKP,,,UKP,,,
G-DGRE,HELICENTRE AVIATION,G2CA,,,VCH,P,,,,,,GDGRE,,,
G-DGUN,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-DJSM,MEOBLE ESTATE,AS50,SQUIRREL,,VCH,P,,,,,,GDJSM,,,
G-DKNA,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNB,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNC,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKND,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNE,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNF,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNG,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNH,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNI,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DKNJ,DRAKEN EUROPE,L159,HONEY BADGER,,VM,M,,,FRA,,,FRA,,EMERGENCY BALLISTIC DEVICE,
G-DONE,VIVIO DEVELOPMENTS,B505,JET RANGER X,,VCH,P,,,,,,GDONE,,,
G-DORS,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,,,,
G-DRAK,FR AVIATION,CL60,CHALLENGER 604,,VM,AD,,,FRA,,,FRA,,,
G-DSAA,DORSET AND SOMERSET AIR AMBULANCE,A169,,,VCH,L,,,HLE,,,HLE10,,,
G-DTFF,RIDGWAY AVIATION,C82S,,,VC,P,,,,,,GDTFF,,,
G-DVAA,DEVON AIR AMBULANCE TRADING COMPANY LTD,EC35,,,VCH,L,,,HLE,,,HLE71,,,
G-DVIP,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-DVOR,FLIGHT CALIBRATION SERVICES LTD,DA62,,,VC,L,,,VOR,,,,,,
G-EBLV,BAE SYSTEMS (OPERATIONS) LTD,DH60,MOTH,,VC,P,,,,,,GEBLV,,,
G-EFCM,2 EXCEL AVIATION LTD,P28A,CHEROKEE,,VC,AD,,,BRO,,,,,,
G-EGBS,DAVID JOHNSTONE,RV9,,,VC,P,,,,,,GEGBS,,,
G-EGCD,AVRO FLYING GROUP,C172,SKYHAWK,,VC,P,,,,,,GEGCD,,,
G-EGLT,RVL AVIATION LTD,C310,,,VC,AD,,,REV,,,,,,
G-EGRV,BARRY GWYNNETT,RV8,,,VC,P,,,,,,RAVEN3,,,
G-EHAA,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-EHAT,GAMA AVIATION,A169,,,VCH,L,,,GMA,,,GEHAT,,,
G-EHMS,LONDON'S AIR AMBULANCE LTD,EXPL,EXPLORER,,VCH,L,,,HLE,,,HLE27,,,
G-EMAA,SCOTLAND'S CHARITY AIR AMBULANCE,EC35,,,VCH,L,,,RHD,,,,,,
G-EMEA,CHC SCOTIA LTD,EC75,,,VCH,L,,,HKS,,,,,,
G-EMEB,CHC SCOTIA LTD,EC75,,,VCH,L,,,HKS,,,,,,
G-EMEC,CHC SCOTIA LTD,EC75,,,VCH,L,,,HKS,,,,,,
G-EMED,CHC SCOTIA LTD,EC75,,,VCH,L,,,HKS,,,,,,
G-EMEK,CHC SCOTIA LTD,EC75,,,VCH,L,,,HKS,,,,,,
G-EMID,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-EMSS,BABCOCK MISSION CRITICAL SERVICES,EC45,,,VCH,L,,,HLE,,,,,,
G-ERBA,CHC SCOTIA LTD,A189,,,VCH,L,,,HKS,,,,,,
G-ERFS,NORTH WALES FLIGHT ACADEMY,P28A,CHEROKEE,,VC,L,,,,,,GERFS,,,
G-EROE,ERIC VERDON-ROE,A504,AVRO 504,,VC,P,,,,,,GREAT WAR,,,
G-FCSL,FLIGHT CALIBRATION SERVICES LTD,PA31,NAVAJO,,VC,L,,,VOR,,,,,,
G-FDHS,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY07,,,
G-FICH,HELICENTRE AVIATION,G2CA,,,VCH,P,,,,,,GFICH,,,
G-FIFA,RVL AVIATION LTD,C404,TITAN,,VC,AD,,,REV,,,REV4FA,,,
G-FIND,RVL AVIATION LTD,F406,CARAVAN 2,,VC,AD,,,REV,,,REV6ND,,,
G-FKNH,MICHAEL MOTHERSHAW,PA15,VAGABOND,,BC,P,,,,,,GFKNH,,,
G-FRSB,DRAKEN EUROPE,FA20,FALCON 20,,VM,M,,,FRA,,,FRA,,,
G-FRYA,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GFRYA,,,
G-FSAR,BRITISH INTERNATIONAL HELICOPTER SERVICES LTD,A189,,,VCH,L,,,VRT,,,,,,
G-FSEU,2 EXCEL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,BRO,,,,,,
G-FUXM,PAUL FOWLER,SPIT,SPITFIRE,,VC,P,,,,,,GFUXM,,,
G-GALI,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-GAME,PHILIP WADSLEY,C303,CRUSADER,,VC,P,,,,,,GGAME,,,
G-GBAS,FLIGHT CALIBRATION SERVICES LTD,DA62,,,VC,L,,,VOR,,,,,,
G-GBMM,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,CST09,,,
G-GBTV,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,,,,
G-GFIB,WESTAIR FLYING SERVICES LTD,C152,,,VC,P,,,,,,GGFIB,,,
G-GFRA,RAVENAIR AIRCRAFT LTD,P28U,TURBO ARROW,,VC,P,,,,,,GGFRA,,,
G-GHER,A2B CHARTERS,AS55,SQUIRREL,,VCH,AD,,,KNM,,,KNM,,,
G-GLAA,PDG HELICOPTERS,EC35,,,VCH,L,,,PDG,,,,,,
G-GLAB,PDG HELICOPTERS,EC35,,,VCH,L,,,PDG,,,,,,
G-GMPX,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,UKP,,,,,,
G-GNSS,FLIGHT CALIBRATION SERVICES LTD,DA62,,,VC,L,,,VOR,,,,,,
G-GOES,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GGOES,,,
G-GORV,G-GORV GROUP,RV8,,,BC,P,,,,,,GGORV,,,
G-GRND,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-GURU,G-GURU LTD,P28A,CHEROKEE WARRIOR II,,VC,P,,,,,,GGURU,,,
G-GWAC,GREAT WESTERN AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE56,,,
G-GYAV,SOUTHPORT AND MERSEYSIDE AEROCLUB,C172,SKYHAWK,,VC,P,,,,,,GGYAV,,,
G-HAAT,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-HANY,COTSWOLD HELICOPTERS,B06,JETRANGER,,VCH,AD,,,HHH,,,,,,
G-HAWC,L39-AVIATION,HAWK,HAWK,,VC,P,,,,,,GHAWC,,,
G-HCEN,HELICENTRE AVIATION,G2CA,,,VCH,P,,,,,,GHCEN,,,
G-HCTV,GB HELICOPTERS,EC55,,,VCH,AD,,,KNM,,,,,,
G-HDTV,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-HEBO,DIRECT FLIGHT LTD,BN2P,ISLANDER,,VC,AD,,,DCT,,,,,,
G-HEBS,DIRECT FLIGHT LTD,BN2P,ISLANDER,,VC,AD,,,DCT,,,,,,
G-HEDL,HIGHFIELD AVIATION,E200,EXTRA 200,,VC,P,,,,,,GHEDL,,,
G-HEMC,EAST ANGLIAN AIR AMBULANCE,EC45,,,VCH,L,,,HLE,,,HLE88,,,
G-HEMN,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,HLE,,,,,,
G-HEMZ,NORTHERN IRELAND AIR AMBULANCE,A109,,,VCH,L,,,HLE,,,HLE23,,,
G-HEOI,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-HFLW,CAPITAL AIR SERVICES LTD,EC45,,,VCH,P,,,,,,GHFLW,,,
G-HHEM,ESSEX & HERTS AIR AMBULANCE TRUST,A169,,,VCH,L,,,HLE,,,HLE55,,,
G-HIGA,HIGH-G FLIGHT TRAINING,C172,SKYHAWK,,VC,P,,,,,,GHIGA,,,
G-HIOW,HAMPSHIRE AND ISLE OF WIGHT AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE56,,,
G-HITD,AIRBUS HELICOPTERS UKS,AS50,SQUIRREL,,VCH,AD,,,,,,GHITD,,,
G-HJDP,DEREK PIERCE,B505,JET RANGER X,,VCH,P,,,,,,GHJDP,,,
G-HLCM,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY02,,,
G-HMDX,SPECIALIST AVIATION SERVICES LTD,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-HOLM,CAPITAL AIR SERVICES LTD,EC35,,,VCH,AD,,,WTK,,,,,,
G-HOTB,MULTIFLIGHT LTD,EC55,,,VCH,AD,,,MFT,,,,,,
G-HPDM,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-HPIN,GB HELICOPTERS,B429,GLOBALRANGER,,VCH,L,,,KNM,,,,,,
G-HRDB,HELICOPTER SERVICES,A109,,,VCH,AD,,,TOA,,,,,,
G-HUBB,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVN7BB,,,
G-HURI,HISTORIC AIRCRAFT COLLECTION LTD,HURI,HURRICANE,,VC,P,,,,,,HURRICANE,,,
G-HWAA,MIDLANDS AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE09,,,
G-IACA,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-IACB,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-IACC,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-IACD,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-IACE,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-IACF,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,,,,
G-IASA,IAS MEDICAL LTD,BE20,KING AIR 200,,VC,AD,,,MDI,,,MDI01,,,
G-IASB,IAS MEDICAL LTD,BE20,KING AIR 200,,VC,AD,,,MDI,,,MDI09,,,
G-IASM,2 EXCEL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,BRO,,,,,,
G-IDRS,FIRMBEAM LTD,RV8,,,VM,P,,,,,,GIDRS,,,
G-IIJM,JOHN MCCARTHY,EXNG,EXTRA NG,,VC,P,,,,,,G-IIJM,,,
G-IIRP,MICHAEL PICKIN,CP23,CAP 232,,VC,P,,,,,,GIIRP,,,
G-IIYI,VICTOR NORMAN,ST75,STEARMAN,,VC,P,,,,,,WINGWALK,,,
G-IMEA,2 EXCEL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,BRO,,,,,,
G-INTV,ARENA AVIATION LTD (GB 2144),AS55,TWIN SQUIRREL,,VCH,AD,,,REN,,,,,,
G-IOOZ,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-IVIP,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-IWFC,GB HELICOPTERS,A109,,,VCH,L,,,KNM,,,,,,
G-IWPI,GB HELICOPTERS,A109,,,VCH,L,,,KNM,,,,,,
G-JBCB,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-JERK,FIGHTER AVIATION ENGINEERING,P51,MUSTANG,,VC,P,,,,,,GJERK,,,
G-JMBS,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,,,,
G-JPIT,RICHARD GOODWIN,PTS2,,,VC,P,,,,,,GJPIT,,,
G-JRER,3GRCOMM LTD,P06T,,,VC,P,,,,,,GJRER,,,
G-JUDE,BRAVO INDIA FLYING GROUP,DR40,REGENT,,BC,P,,,,,,GJUDE,,,
G-KAAT,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-KSSA,AIR AMBULANCE KENT SURREY SUSSEX,EXPL,EXPLORER,,VCH,L,,,HLE,,,,,,
G-KSSC,AIR AMBULANCE KENT SURREY SUSSEX,A169,,,VCH,L,,,HLE,,,HLE21,,,
G-KSSH,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,PLC,,,,,,
G-KSST,AIR AMBULANCE KENT SURREY SUSSEX,A169,,,VCH,L,,,HLE,,,HLE60,,,
G-KUBE,HELICOPTER SERVICES,R44,RAVEN 2,,VCH,AD,,,TOA,,,,,,
G-KVIP,CAPITAL AIR AMBULANCE,BE20,KING AIR 200,,VC,AD,,,EGL,,,,,,
G-LAIR,EDWARD HOWARD,GLAS,GLASAIR,,VC,P,,,,,,GLAIR,,,
G-LARR,SKYHOOK HELICOPTERS,AS50,SQUIRREL,,VCH,AD,,,,,,GLARR,,,
G-LASS,TERRANCE WHITE,VEZE,VARIEZE,,BC,P,,,,,,GLASS,,,
G-LASU,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-LAWA,CASTLE AIR LTD,A139,,,VCH,AD,,,CST,,,GLAWA,,,
G-LBRR,SKYHOOK HELICOPTERS,AS50,SQUIRREL,,VCH,AD,,,,,,GLBRR,,,
G-LEAF,RVL AVIATION LTD,F406,CARAVAN 2,,VC,AD,,,REV,,,REV6AF,,,
G-LENZ,RENNETA,SR20,,,VC,P,,,,,,GLENZ,,EMERGENCY BALLISTIC DEVICE,
G-LFSA,LIVERPOOL FLYING SCHOOL,PA38,TOMAHAWK,,VC,P,,,,,,GLFSA,,,
G-LFSH,LIVERPOOL FLYING SCHOOL,PA38,TOMAHAWK,,VC,P,,,,,,GLFSH,,,
G-LFSL,LIVERPOOL FLYING SCHOOL,PA38,TOMAHAWK,,VC,P,,,,,,GLFSL,,,
G-LFSM,LIVERPOOL FLYING SCHOOL,PA38,TOMAHAWK,,VC,P,,,,,,GLFSM,,,
G-LFSN,LIVERPOOL FLYING SCHOOL,PA38,TOMAHAWK,,VC,P,,,,,,GLFSN,,,
G-LFSO,PVT,PA38,TOMAHAWK,,VC,P,,,,,,GLFSO,,,
G-LFST,LIVERPOOL FLYING SCHOOL,P28A,CHEROKEE,,VC,P,,,,,,GLFST,,,
G-LFSU,LIVERPOOL FLYING SCHOOL,PA38,TOMAHAWK,,VC,P,,,,,,GLFSU,,,
G-LINE,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,GLINE,,,
G-LINJ,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GLINJ,,,
G-LINY,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GLINY,,,
G-LINZ,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GLINZ,,,
G-LITO,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GLITO,,,
G-LNAC,SPECIALIST AVIATION SERVICES LTD,A169,,,VCH,L,,,PLC,,,GLNAC,,,
G-LNCC,LINCOLNSHIRE & NOTTINGHAMSHIRE AIR AMBULANCE,A169,,,VCH,L,,,HLE,,,HLE29,,,
G-LNDN,LONDON'S AIR AMBULANCE LTD,EXPL,EXPLORER,,VCH,L,,,HLE,,,HLE28,,,
G-LONE,NORTHUMBRIA HELICOPTERS,B06,LONGRANGER,,VCH,AD,,,NHL,,,NHL03,,,
G-LRMJ,AVIATEQ AVIATION,SR22,,,VC,P,,,,,,GLRMJ,,EMERGENCY BALLISTIC DEVICE,
G-LUFC,VNE AVIATION TRAINING,B407,,,VCH,AD,,,,,,GLUFC,,,
G-LUSO,RAVENAIR,PC12,,,VC,AD,,,RVR,,,GLUSO,,,
G-LUXE,DIRECT FLIGHT LTD,B463,AVRO RJ,,VC,AD,,,DCT,,CHARTER,GLUXE,,,
G-LZZI,CAPITAL AIR SERVICES LTD,EC35,,,VCH,AD,,,WDK,,,WDK,,,
G-MAFA,DIRECT FLIGHT LTD,F406,CARAVAN 2,,VC,AD,,,DCT,,,GMAFA,,,
G-MAFB,DIRECT FLIGHT LTD,F406,CARAVAN 2,,VC,AD,,,DCT,,,GMAFB,,,
G-MAKN,RAVENAIR AIRCRAFT LTD,PC12,,,VC,AD,,,RVR,,,GMAKN,,,
G-MAOL,SLOANE HELICOPTERS LTD,A109,,,VCH,AD,,,SLN,,,GMAOL,,,
G-MCAN,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GMCAN,,,
G-MCGB,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGB,,,
G-MCGC,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGC,,,
G-MCGD,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGD,,,
G-MCGE,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGE,,,
G-MCGF,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGF,,,
G-MCGG,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGG,,,
G-MCGH,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGH,,,
G-MCGI,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGI,,,
G-MCGJ,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMCGJ,,,
