REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
ZK031,ROYAL AIR FORCE,HAWK,HAWK,,VM,M,,,VYT,,,,,,
ZK035,ROYAL AIR FORCE,HAWK,HAWK,,VM,M,,,VYT,,,,,,
ZK036,ROYAL AIR FORCE,HAWK,HAWK,,VM,M,,,RFR,,,,,,
ZK352,ROYAL AIR FORCE,EUFI,EUROFIGHTER,,VM,M,,,XXX,,,,,,
ZK558,ROYAL AIR FORCE,H47,CHINOOK,,VMH,M,,,SHF,,,SHF,,,
ZM302,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM303,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM304,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM306,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM308,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM310,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM311,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM314,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,BKH,,,,,,
ZM315,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,BKH,,,,,,
ZM316,ROYAL AIR FORCE,G120,PREFECT,,VM,M,,,CWL,,,,,,
ZM318,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM319,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM322,ROYAL AIR FORCE,G12T,PREFECT,,VM,M,,,CWL,,,,,,
ZM331,ROYAL AIR FORCE,TEX2,TEXAN 2,,VM,M,,,VYT,,,,,,
ZM332,ROYAL AIR FORCE,TEX2,TEXAN 2,,VM,M,,,VYT,,,,,,
ZM406,ROYAL AIR FORCE,A400,ATLAS,,VM,M,,,RRR,,GOVERNMENT CHARTER,,,,
ZM415,ROYAL AIR FORCE,A400,ATLAS,,VM,M,,,RRR,,GOVERNMENT CHARTER,,,,
ZM416,ROYAL AIR FORCE,A400,ATLAS,,VM,M,,,RRR,,GOVERNMENT CHARTER,,,,
ZM418,ROYAL AIR FORCE,A400,ATLAS,,VM,M,,,RRR,,GOVERNMENT CHARTER,,,,
ZM500,DEFENSE HELICOPTER FLYING SCHOOL,EC45,JUPITER,,VMH,M,,,VLL,,,VLL,,,
ZM501,DEFENSE HELICOPTER FLYING SCHOOL,EC45,,,VMH,M,,,SYS,,,SYS01,,,
ZM502,DEFENSE HELICOPTER FLYING SCHOOL,EC45,,,VMH,M,,,SYS,,,SYS02,,,
ZM504,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS04,,,
ZM505,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS05,,,
ZM507,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS07,,,
ZM508,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS08,,,
ZM509,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS09,,,
ZM510,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS10,,,
ZM512,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS12,,,
ZM514,DEFENSE HELICOPTER FLYING SCHOOL,EC45,,,VMH,M,,,SYS,,,SYS14,,,
ZM515,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS15,,,
ZM516,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS16,,,
ZM518,DEFENSE HELICOPTER FLYING SCHOOL,EC45,,,VMH,M,,,SYS,,,SYS18,,,
ZM519,DEFENSE HELICOPTER FLYING SCHOOL,EC45,,,VMH,M,,,SYS,,,SYS19,,,
ZM520,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS20,,,
ZM522,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS22,,,
ZM523,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS23,,,
ZM524,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS24,,,
ZM525,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS25,,,
ZM526,DEFENSE HELICOPTER FLYING SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS26,,,
ZM527,DEFENCE HELICOPTER FLIGHT SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS27,,,
ZM530,DEFENCE HELICOPTER FLIGHT SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS30,,,
